Titulo,Relator,Data de publicação,Data de julgamento,Órgão julgador,Ementa
Pet 9935 AgR-vigésimo segundo,ALEXANDRE DE MORAES,18/10/24,09/09/24,Primeira Turma,"Ementa: PENAL E PROCESSUAL PENAL. UTILIZAÇÃO DE PERFIS NAS REDES SOCIAIS PARA A PROPAGAÇÃO DE DISCURSOS COM CONTEÚDO DE ÓDIO, SUBVERSÃO DA ORDEM E INCENTIVO À QUEBRA DA NORMALIDADE INSTITUCIONAL E DEMOCRÁTICA. ABUSO DO DIREITO DE LIBERDADE DE EXPRESSÃO. NECESSIDADE E ADEQUAÇÃO NO BLOQUEIO DE PERFIS PARA FAZER CESSAR A ATIVIDADE CRIMINOSA. ILEGITIMIDADE AD CAUSAM DO AGRAVANTE. AGRAVO REGIMENTAL NÃO CONHECIDO.    1. É flagrante a ilegitimidade ativa ad causam do ora agravante, não havendo para ele interesse subjetivo a ser tutelado. Incabível ao recorrente opor-se ao cumprimento do bloqueio dos canais/perfis/contas determinado nestes autos.    2. Não cabe ao provedor da rede social pleitear direito alheio em nome próprio, ainda que seja o destinatário da requisição dos bloqueios determinados por meio de decisão judicial para fins de investigação criminal, eis que não é parte no procedimento investigativo, conforme decisão UNÂNIME da Primeira Turma do SUPREMO TRIBUNAL FEDERAL (Pet 10.792 AgR, Rel. Min. ALEXANDRE DE MORAES, 1ª Turma, Dje de 21/8/2024).     3. A liberdade de expressão é consagrada constitucionalmente e balizada pelo binômio LIBERDADE E RESPONSABILIDADE, ou seja, o exercício desse direito não pode ser utilizado como verdadeiro escudo protetivo para a prática de atividades ilícitas. Não se confunde liberdade de expressão com impunidade para agressão.    4. Dessa maneira, uma vez desvirtuado criminosamente o exercício da liberdade de expressão, a Constituição Federal e a legislação autorizam medidas repressivas civis e penais, tanto de natureza cautelar quanto definitivas.    5. Agravo Regimental não conhecido."
Pet 10851 AgR,ALEXANDRE DE MORAES,17/10/24,09/09/24,Primeira Turma,"Ementa: PENAL E PROCESSUAL PENAL. UTILIZAÇÃO DE PERFIS NAS REDES SOCIAIS PARA A PROPAGAÇÃO DE DISCURSOS COM CONTEÚDO DE ÓDIO, SUBVERSÃO DA ORDEM E INCENTIVO À QUEBRA DA NORMALIDADE INSTITUCIONAL E DEMOCRÁTICA. ABUSO DO DIREITO DE LIBERDADE DE EXPRESSÃO. NECESSIDADE E ADEQUAÇÃO NO BLOQUEIO DE PERFIS PARA FAZER CESSAR A ATIVIDADE CRIMINOSA. ILEGITIMIDADE AD CAUSAM DO AGRAVANTE. AGRAVO REGIMENTAL NÃO CONHECIDO.    1. É flagrante a ilegitimidade ativa ad causam do ora agravante, não havendo para ele interesse subjetivo a ser tutelado. Incabível ao recorrente opor-se ao cumprimento do bloqueio dos canais/perfis/contas determinado nestes autos.    2. Não cabe ao provedor da rede social pleitear direito alheio em nome próprio, ainda que seja o destinatário da requisição dos bloqueios determinados por meio de decisão judicial para fins de investigação criminal, eis que não é parte no procedimento investigativo, conforme decisão UNÂNIME da Primeira Turma do SUPREMO TRIBUNAL FEDERAL (Pet 10.792 AgR, Rel. Min. ALEXANDRE DE MORAES, 1ª Turma, Dje de 21/8/2024).     3. A liberdade de expressão é consagrada constitucionalmente e balizada pelo binômio LIBERDADE E RESPONSABILIDADE, ou seja, o exercício desse direito não pode ser utilizado como verdadeiro escudo protetivo para a prática de atividades ilícitas. Não se confunde liberdade de expressão com impunidade para agressão.    4. Dessa maneira, uma vez desvirtuado criminosamente o exercício da liberdade de expressão, a Constituição Federal e a legislação autorizam medidas repressivas civis e penais, tanto de natureza cautelar quanto definitivas.    5. Agravo Regimental não conhecido."
Pet 10801 AgR-segundo,ALEXANDRE DE MORAES,17/10/24,09/09/24,Primeira Turma,"Ementa: PENAL E PROCESSUAL PENAL. UTILIZAÇÃO DE PERFIS NAS REDES SOCIAIS PARA A PROPAGAÇÃO DE DISCURSOS COM CONTEÚDO DE ÓDIO, SUBVERSÃO DA ORDEM E INCENTIVO À QUEBRA DA NORMALIDADE INSTITUCIONAL E DEMOCRÁTICA. ABUSO DO DIREITO DE LIBERDADE DE EXPRESSÃO. NECESSIDADE E ADEQUAÇÃO NO BLOQUEIO DE PERFIS PARA FAZER CESSAR A ATIVIDADE CRIMINOSA. ILEGITIMIDADE AD CAUSAM DO AGRAVANTE. AGRAVO REGIMENTAL NÃO CONHECIDO.    1. É flagrante a ilegitimidade ativa ad causam do ora agravante, não havendo para ele interesse subjetivo a ser tutelado. Incabível ao recorrente opor-se ao cumprimento do bloqueio dos canais/perfis/contas determinado nestes autos.    2. Não cabe ao provedor da rede social pleitear direito alheio em nome próprio, ainda que seja o destinatário da requisição dos bloqueios determinados por meio de decisão judicial para fins de investigação criminal, eis que não é parte no procedimento investigativo, conforme decisão UNÂNIME da Primeira Turma do SUPREMO TRIBUNAL FEDERAL (Pet 10.792 AgR, Rel. Min. ALEXANDRE DE MORAES, 1ª Turma, Dje de 21/8/2024).     3. A liberdade de expressão é consagrada constitucionalmente e balizada pelo binômio LIBERDADE E RESPONSABILIDADE, ou seja, o exercício desse direito não pode ser utilizado como verdadeiro escudo protetivo para a prática de atividades ilícitas. Não se confunde liberdade de expressão com impunidade para agressão.    4. Dessa maneira, uma vez desvirtuado criminosamente o exercício da liberdade de expressão, a Constituição Federal e a legislação autorizam medidas repressivas civis e penais, tanto de natureza cautelar quanto definitivas.    5. Agravo Regimental não conhecido."
Pet 9935 AgR-vigésimo terceiro,ALEXANDRE DE MORAES,18/10/24,09/09/24,Primeira Turma,"Ementa: PENAL E PROCESSUAL PENAL. UTILIZAÇÃO DE PERFIS NAS REDES SOCIAIS PARA A PROPAGAÇÃO DE DISCURSOS COM CONTEÚDO DE ÓDIO, SUBVERSÃO DA ORDEM E INCENTIVO À QUEBRA DA NORMALIDADE INSTITUCIONAL E DEMOCRÁTICA. ABUSO DO DIREITO DE LIBERDADE DE EXPRESSÃO. NECESSIDADE E ADEQUAÇÃO NO BLOQUEIO DE PERFIS PARA FAZER CESSAR A ATIVIDADE CRIMINOSA. ILEGITIMIDADE AD CAUSAM DO AGRAVANTE. AGRAVO REGIMENTAL NÃO CONHECIDO.    1. É flagrante a ilegitimidade ativa ad causam do ora agravante, não havendo para ele interesse subjetivo a ser tutelado. Incabível ao recorrente opor-se ao cumprimento do bloqueio dos canais/perfis/contas determinado nestes autos.    2. Não cabe ao provedor da rede social pleitear direito alheio em nome próprio, ainda que seja o destinatário da requisição dos bloqueios determinados por meio de decisão judicial para fins de investigação criminal, eis que não é parte no procedimento investigativo, conforme decisão UNÂNIME da Primeira Turma do SUPREMO TRIBUNAL FEDERAL (Pet 10.792 AgR, Rel. Min. ALEXANDRE DE MORAES, 1ª Turma, Dje de 21/8/2024).     3. A liberdade de expressão é consagrada constitucionalmente e balizada pelo binômio LIBERDADE E RESPONSABILIDADE, ou seja, o exercício desse direito não pode ser utilizado como verdadeiro escudo protetivo para a prática de atividades ilícitas. Não se confunde liberdade de expressão com impunidade para agressão.    4. Dessa maneira, uma vez desvirtuado criminosamente o exercício da liberdade de expressão, a Constituição Federal e a legislação autorizam medidas repressivas civis e penais, tanto de natureza cautelar quanto definitivas.    5. Agravo Regimental não conhecido."
Pet 9935 AgR-vigésimo quarto,ALEXANDRE DE MORAES,18/10/24,09/09/24,Primeira Turma,"Ementa: PENAL E PROCESSUAL PENAL. UTILIZAÇÃO DE PERFIS NAS REDES SOCIAIS PARA A PROPAGAÇÃO DE DISCURSOS COM CONTEÚDO DE ÓDIO, SUBVERSÃO DA ORDEM E INCENTIVO À QUEBRA DA NORMALIDADE INSTITUCIONAL E DEMOCRÁTICA. ABUSO DO DIREITO DE LIBERDADE DE EXPRESSÃO. NECESSIDADE E ADEQUAÇÃO NO BLOQUEIO DE PERFIS PARA FAZER CESSAR A ATIVIDADE CRIMINOSA. ILEGITIMIDADE AD CAUSAM DO AGRAVANTE. AGRAVO REGIMENTAL NÃO CONHECIDO.    1. É flagrante a ilegitimidade ativa ad causam do ora agravante, não havendo para ele interesse subjetivo a ser tutelado. Incabível ao recorrente opor-se ao cumprimento do bloqueio dos canais/perfis/contas determinado nestes autos.    2. Não cabe ao provedor da rede social pleitear direito alheio em nome próprio, ainda que seja o destinatário da requisição dos bloqueios determinados por meio de decisão judicial para fins de investigação criminal, eis que não é parte no procedimento investigativo, conforme decisão UNÂNIME da Primeira Turma do SUPREMO TRIBUNAL FEDERAL (Pet 10.792 AgR, Rel. Min. ALEXANDRE DE MORAES, 1ª Turma, Dje de 21/8/2024).     3. A liberdade de expressão é consagrada constitucionalmente e balizada pelo binômio LIBERDADE E RESPONSABILIDADE, ou seja, o exercício desse direito não pode ser utilizado como verdadeiro escudo protetivo para a prática de atividades ilícitas. Não se confunde liberdade de expressão com impunidade para agressão.    4. Dessa maneira, uma vez desvirtuado criminosamente o exercício da liberdade de expressão, a Constituição Federal e a legislação autorizam medidas repressivas civis e penais, tanto de natureza cautelar quanto definitivas.    5. Agravo Regimental não conhecido."
Pet 9935 AgR-vigésimo,ALEXANDRE DE MORAES,18/10/24,09/09/24,Primeira Turma,"Ementa: PENAL E PROCESSUAL PENAL. UTILIZAÇÃO DE PERFIS NAS REDES SOCIAIS PARA A PROPAGAÇÃO DE DISCURSOS COM CONTEÚDO DE ÓDIO, SUBVERSÃO DA ORDEM E INCENTIVO À QUEBRA DA NORMALIDADE INSTITUCIONAL E DEMOCRÁTICA. ABUSO DO DIREITO DE LIBERDADE DE EXPRESSÃO. NECESSIDADE E ADEQUAÇÃO NO BLOQUEIO DE PERFIS PARA FAZER CESSAR A ATIVIDADE CRIMINOSA. ILEGITIMIDADE AD CAUSAM DO AGRAVANTE. AGRAVO REGIMENTAL NÃO CONHECIDO.    1. É flagrante a ilegitimidade ativa ad causam do ora agravante, não havendo para ele interesse subjetivo a ser tutelado. Incabível ao recorrente opor-se ao cumprimento do bloqueio dos canais/perfis/contas determinado nestes autos.    2. Não cabe ao provedor da rede social pleitear direito alheio em nome próprio, ainda que seja o destinatário da requisição dos bloqueios determinados por meio de decisão judicial para fins de investigação criminal, eis que não é parte no procedimento investigativo, conforme decisão UNÂNIME da Primeira Turma do SUPREMO TRIBUNAL FEDERAL (Pet 10.792 AgR, Rel. Min. ALEXANDRE DE MORAES, 1ª Turma, Dje de 21/8/2024).     3. A liberdade de expressão é consagrada constitucionalmente e balizada pelo binômio LIBERDADE E RESPONSABILIDADE, ou seja, o exercício desse direito não pode ser utilizado como verdadeiro escudo protetivo para a prática de atividades ilícitas. Não se confunde liberdade de expressão com impunidade para agressão.    4. Dessa maneira, uma vez desvirtuado criminosamente o exercício da liberdade de expressão, a Constituição Federal e a legislação autorizam medidas repressivas civis e penais, tanto de natureza cautelar quanto definitivas.    5. Agravo Regimental não conhecido."
Pet 11035 AgR,ALEXANDRE DE MORAES,12/09/24,09/09/24,Primeira Turma,"Ementa: PENAL E PROCESSUAL PENAL. UTILIZAÇÃO DE PERFIS NAS REDES SOCIAIS PARA A PROPAGAÇÃO DE DISCURSOS COM CONTEÚDO DE ÓDIO, SUBVERSÃO DA ORDEM E INCENTIVO À QUEBRA DA NORMALIDADE INSTITUCIONAL E DEMOCRÁTICA. ABUSO DO DIREITO DE LIBERDADE DE EXPRESSÃO. NECESSIDADE E ADEQUAÇÃO NO BLOQUEIO DE PERFIS PARA FAZER CESSAR A ATIVIDADE CRIMINOSA. ILEGITIMIDADE AD CAUSAM DO AGRAVANTE. AGRAVO REGIMENTAL NÃO CONHECIDO.    1. É flagrante a ilegitimidade ativa ad causam do ora agravante, não havendo para ele interesse subjetivo a ser tutelado. Incabível ao recorrente opor-se ao cumprimento do bloqueio dos canais/perfis/contas determinado nestes autos.    2. Não cabe ao provedor da rede social pleitear direito alheio em nome próprio, ainda que seja o destinatário da requisição dos bloqueios determinados por meio de decisão judicial para fins de investigação criminal, eis que não é parte no procedimento investigativo, conforme decisão UNÂNIME da Primeira Turma do SUPREMO TRIBUNAL FEDERAL (Pet 10.792 AgR, Rel. Min. ALEXANDRE DE MORAES, 1ª Turma, Dje de 21/8/2024).     3. A liberdade de expressão é consagrada constitucionalmente e balizada pelo binômio LIBERDADE E RESPONSABILIDADE, ou seja, o exercício desse direito não pode ser utilizado como verdadeiro escudo protetivo para a prática de atividades ilícitas. Não se confunde liberdade de expressão com impunidade para agressão.    4. Dessa maneira, uma vez desvirtuado criminosamente o exercício da liberdade de expressão, a Constituição Federal e a legislação autorizam medidas repressivas civis e penais, tanto de natureza cautelar quanto definitivas.    5. Agravo Regimental não conhecido."
Pet 11075 AgR,ALEXANDRE DE MORAES,13/09/24,09/09/24,Primeira Turma,"Ementa: PENAL E PROCESSUAL PENAL. UTILIZAÇÃO DE PERFIS NAS REDES SOCIAIS PARA A PROPAGAÇÃO DE DISCURSOS COM CONTEÚDO DE ÓDIO, SUBVERSÃO DA ORDEM E INCENTIVO À QUEBRA DA NORMALIDADE INSTITUCIONAL E DEMOCRÁTICA. ABUSO DO DIREITO DE LIBERDADE DE EXPRESSÃO. NECESSIDADE E ADEQUAÇÃO NO BLOQUEIO DE PERFIS PARA FAZER CESSAR A ATIVIDADE CRIMINOSA. ILEGITIMIDADE AD CAUSAM DO AGRAVANTE. AGRAVO REGIMENTAL NÃO CONHECIDO.    1. É flagrante a ilegitimidade ativa ad causam do ora agravante, não havendo para ele interesse subjetivo a ser tutelado. Incabível ao recorrente opor-se ao cumprimento do bloqueio dos canais/perfis/contas determinado nestes autos.    2. Não cabe ao provedor da rede social pleitear direito alheio em nome próprio, ainda que seja o destinatário da requisição dos bloqueios determinados por meio de decisão judicial para fins de investigação criminal, eis que não é parte no procedimento investigativo, conforme decisão UNÂNIME da Primeira Turma do SUPREMO TRIBUNAL FEDERAL (Pet 10.792 AgR, Rel. Min. ALEXANDRE DE MORAES, 1ª Turma, Dje de 21/8/2024).     3. A liberdade de expressão é consagrada constitucionalmente e balizada pelo binômio LIBERDADE E RESPONSABILIDADE, ou seja, o exercício desse direito não pode ser utilizado como verdadeiro escudo protetivo para a prática de atividades ilícitas. Não se confunde liberdade de expressão com impunidade para agressão.    4. Dessa maneira, uma vez desvirtuado criminosamente o exercício da liberdade de expressão, a Constituição Federal e a legislação autorizam medidas repressivas civis e penais, tanto de natureza cautelar quanto definitivas.    5. Agravo Regimental não conhecido."
Pet 10802 AgR-terceiro,ALEXANDRE DE MORAES,17/10/24,09/09/24,Primeira Turma,"Ementa: PENAL E PROCESSUAL PENAL. UTILIZAÇÃO DE PERFIS NAS REDES SOCIAIS PARA A PROPAGAÇÃO DE DISCURSOS COM CONTEÚDO DE ÓDIO, SUBVERSÃO DA ORDEM E INCENTIVO À QUEBRA DA NORMALIDADE INSTITUCIONAL E DEMOCRÁTICA. ABUSO DO DIREITO DE LIBERDADE DE EXPRESSÃO. NECESSIDADE E ADEQUAÇÃO NO BLOQUEIO DE PERFIS PARA FAZER CESSAR A ATIVIDADE CRIMINOSA. ILEGITIMIDADE AD CAUSAM DO AGRAVANTE. AGRAVO REGIMENTAL NÃO CONHECIDO.    1. É flagrante a ilegitimidade ativa ad causam do ora agravante, não havendo para ele interesse subjetivo a ser tutelado. Incabível ao recorrente opor-se ao cumprimento do bloqueio dos canais/perfis/contas determinado nestes autos.    2. Não cabe ao provedor da rede social pleitear direito alheio em nome próprio, ainda que seja o destinatário da requisição dos bloqueios determinados por meio de decisão judicial para fins de investigação criminal, eis que não é parte no procedimento investigativo, conforme decisão UNÂNIME da Primeira Turma do SUPREMO TRIBUNAL FEDERAL (Pet 10.792 AgR, Rel. Min. ALEXANDRE DE MORAES, 1ª Turma, Dje de 21/8/2024).     3. A liberdade de expressão é consagrada constitucionalmente e balizada pelo binômio LIBERDADE E RESPONSABILIDADE, ou seja, o exercício desse direito não pode ser utilizado como verdadeiro escudo protetivo para a prática de atividades ilícitas. Não se confunde liberdade de expressão com impunidade para agressão.    4. Dessa maneira, uma vez desvirtuado criminosamente o exercício da liberdade de expressão, a Constituição Federal e a legislação autorizam medidas repressivas civis e penais, tanto de natureza cautelar quanto definitivas.    5. Agravo Regimental não conhecido."
Pet 10775 AgR-segundo,ALEXANDRE DE MORAES,17/10/24,09/09/24,Primeira Turma,"Ementa: PENAL E PROCESSUAL PENAL. UTILIZAÇÃO DE PERFIS NAS REDES SOCIAIS PARA A PROPAGAÇÃO DE DISCURSOS COM CONTEÚDO DE ÓDIO, SUBVERSÃO DA ORDEM E INCENTIVO À QUEBRA DA NORMALIDADE INSTITUCIONAL E DEMOCRÁTICA. ABUSO DO DIREITO DE LIBERDADE DE EXPRESSÃO. NECESSIDADE E ADEQUAÇÃO NO BLOQUEIO DE PERFIS PARA FAZER CESSAR A ATIVIDADE CRIMINOSA. ILEGITIMIDADE AD CAUSAM DO AGRAVANTE. AGRAVO REGIMENTAL NÃO CONHECIDO.    1. É flagrante a ilegitimidade ativa ad causam do ora agravante, não havendo para ele interesse subjetivo a ser tutelado. Incabível ao recorrente opor-se ao cumprimento do bloqueio dos canais/perfis/contas determinado nestes autos.    2. Não cabe ao provedor da rede social pleitear direito alheio em nome próprio, ainda que seja o destinatário da requisição dos bloqueios determinados por meio de decisão judicial para fins de investigação criminal, eis que não é parte no procedimento investigativo, conforme decisão UNÂNIME da Primeira Turma do SUPREMO TRIBUNAL FEDERAL (Pet 10.792 AgR, Rel. Min. ALEXANDRE DE MORAES, 1ª Turma, Dje de 21/8/2024).     3. A liberdade de expressão é consagrada constitucionalmente e balizada pelo binômio LIBERDADE E RESPONSABILIDADE, ou seja, o exercício desse direito não pode ser utilizado como verdadeiro escudo protetivo para a prática de atividades ilícitas. Não se confunde liberdade de expressão com impunidade para agressão.    4. Dessa maneira, uma vez desvirtuado criminosamente o exercício da liberdade de expressão, a Constituição Federal e a legislação autorizam medidas repressivas civis e penais, tanto de natureza cautelar quanto definitivas.    5. Agravo Regimental não conhecido."
Pet 11704 AgR,ALEXANDRE DE MORAES,10/10/24,09/09/24,Primeira Turma,"Ementa: PENAL E PROCESSUAL PENAL. UTILIZAÇÃO DE PERFIS NAS REDES SOCIAIS PARA A PROPAGAÇÃO DE DISCURSOS COM CONTEÚDO DE ÓDIO, SUBVERSÃO DA ORDEM E INCENTIVO À QUEBRA DA NORMALIDADE INSTITUCIONAL E DEMOCRÁTICA. ABUSO DO DIREITO DE LIBERDADE DE EXPRESSÃO. NECESSIDADE E ADEQUAÇÃO NO BLOQUEIO DE PERFIS PARA FAZER CESSAR A ATIVIDADE CRIMINOSA. ILEGITIMIDADE AD CAUSAM DO AGRAVANTE. AGRAVO REGIMENTAL NÃO CONHECIDO.    1. É flagrante a ilegitimidade ativa ad causam do ora agravante, não havendo para ele interesse subjetivo a ser tutelado. Incabível ao recorrente opor-se ao cumprimento do bloqueio dos canais/perfis/contas determinado nestes autos.    2. Não cabe ao provedor da rede social pleitear direito alheio em nome próprio, ainda que seja o destinatário da requisição dos bloqueios determinados por meio de decisão judicial para fins de investigação criminal, eis que não é parte no procedimento investigativo, conforme decisão UNÂNIME da Primeira Turma do SUPREMO TRIBUNAL FEDERAL (Pet 10.792 AgR, Rel. Min. ALEXANDRE DE MORAES, 1ª Turma, Dje de 21/8/2024).     3. A liberdade de expressão é consagrada constitucionalmente e balizada pelo binômio LIBERDADE E RESPONSABILIDADE, ou seja, o exercício desse direito não pode ser utilizado como verdadeiro escudo protetivo para a prática de atividades ilícitas. Não se confunde liberdade de expressão com impunidade para agressão.    4. Dessa maneira, uma vez desvirtuado criminosamente o exercício da liberdade de expressão, a Constituição Federal e a legislação autorizam medidas repressivas civis e penais, tanto de natureza cautelar quanto definitivas.    5. Agravo Regimental não conhecido."
